niche_breadth_scaling_coef,m_immigration,m_immigration_black_mats,nu,dispersal_kernel_slope,i_sim
4,0.1,0.1,1e-5,1e6,118
4,0.1,0.5,1e-6,100,119
4,0.005,0.001,1e-6,1e6,120
20,0.9,0.009,1e-5,1e3,121
20,0.01,0.9,0.1,10,122
20,0.01,0.09,0.01,1e5,123
20,0.01,0.001,0.001,10,124
1,0.1,0.05,1e-4,1e5,125
4,0.05,0.005,0.1,10,126
1,0.05,0.005,0.1,1e5,127
1,0.005,0.09,0.001,10,128
20,0.05,0.09,0.001,1e6,129
4,0.09,0.01,0.1,1e6,130
4,0.09,0.1,1e-4,1e6,131
20,0.5,0.001,1e-5,1e3,132
4,0.5,0.05,1e-4,1e6,133
4,0.09,0.05,1e-6,1e4,134
4,0.1,0.009,0.001,100,135
20,0.5,0.5,0.1,1e6,136
1,0.01,0.09,0.1,10,137
4,0.009,0.05,0.1,1e3,138
1,0.05,0.009,1e-5,100,139
20,0.1,0.05,1e-5,1e4,140
1,0.001,0.001,1e-6,1e6,141
1,0.9,0.09,1e-5,100,142
20,0.09,0.01,1e-6,1e4,143
1,0.9,0.5,1e-5,10,144
1,0.1,0.09,0.01,1e3,145
20,0.05,0.09,1e-4,10,146
20,0.01,0.05,0.1,1e4,147
20,0.05,0.5,0.01,1e5,148
20,0.01,0.09,1e-5,1e3,149
1,0.05,0.1,1e-6,1e5,150
20,0.01,0.001,1e-4,100,151
20,0.01,0.5,0.1,1e4,152
4,0.05,0.001,0.1,10,153
1,0.005,0.09,0.001,1e6,154
1,0.09,0.01,0.1,100,155
4,0.5,0.09,1e-5,1e5,156
1,0.9,0.009,1e-4,1e5,157
20,0.001,0.09,1e-4,1e3,158
4,0.9,0.9,1e-5,1e4,159
20,0.009,0.001,0.001,1e3,160
4,0.009,0.01,1e-4,1e6,161
1,0.5,0.09,0.001,1e4,162
4,0.5,0.9,0.001,1e4,163
4,0.001,0.05,0.001,1e5,164
1,0.9,0.9,0.001,1e5,165
4,0.005,0.9,1e-6,1e3,166
20,0.01,0.09,0.001,1e5,167
1,0.001,0.9,0.001,1e5,168
20,0.9,0.001,0.1,100,169
1,0.009,0.01,1e-5,1e5,170
20,0.1,0.001,0.1,100,171
4,0.005,0.9,1e-5,1e6,172
20,0.5,0.009,1e-6,100,173
1,0.05,0.01,1e-6,1e5,174
4,0.9,0.1,1e-5,100,175
1,0.9,0.1,0.1,100,176
1,0.09,0.005,0.001,100,177
1,0.05,0.09,0.01,1e5,178
4,0.5,0.09,1e-4,1e3,179
1,0.001,0.009,1e-6,10,180
1,0.5,0.005,1e-5,1e3,181
4,0.9,0.001,0.001,1e5,182
4,0.1,0.009,1e-5,1e4,183
4,0.005,0.5,1e-6,100,184
4,0.005,0.1,1e-5,10,185
4,0.005,0.9,1e-4,1e5,186
4,0.9,0.09,1e-5,10,187
1,0.5,0.9,1e-5,1e5,188
4,0.5,0.005,1e-5,10,189
4,0.001,0.001,1e-6,1e3,190
1,0.09,0.1,0.1,1e6,191
1,0.1,0.005,0.01,10,192
4,0.9,0.05,1e-5,100,193
20,0.1,0.001,1e-6,10,194
1,0.01,0.005,0.001,1e5,195
20,0.1,0.9,1e-4,1e3,196
20,0.009,0.009,0.01,100,197
1,0.01,0.9,1e-4,100,198
1,0.09,0.05,0.001,1e4,199
1,0.9,0.001,1e-4,1e6,200
4,0.001,0.01,0.01,1e6,201
4,0.9,0.5,1e-5,10,202
20,0.01,0.09,0.1,1e3,203
1,0.5,0.09,1e-5,10,204
1,0.05,0.009,1e-6,1e3,205
4,0.09,0.005,0.1,10,206
20,0.9,0.05,0.1,1e5,207
4,0.001,0.009,1e-6,1e6,208
1,0.005,0.1,0.001,1e4,209
1,0.001,0.009,0.1,1e5,210
1,0.05,0.1,0.01,1e6,211
4,0.9,0.1,1e-4,1e6,212
4,0.005,0.009,0.1,1e3,213
1,0.09,0.09,1e-4,100,214
4,0.5,0.05,0.01,1e4,215
4,0.01,0.01,1e-6,10,216
1,0.1,0.001,1e-6,1e4,217
1,0.001,0.001,1e-5,1e6,218
4,0.001,0.05,1e-4,1e4,219
1,0.05,0.9,0.01,100,220
1,0.009,0.1,0.001,1e6,221
1,0.01,0.001,1e-4,100,222
20,0.9,0.009,1e-6,1e5,223
4,0.001,0.09,0.01,100,224
1,0.1,0.5,1e-5,1e5,225
1,0.5,0.5,1e-6,100,226
1,0.05,0.09,0.01,1e4,227
4,0.09,0.001,1e-5,1e4,228
4,0.09,0.1,1e-5,10,229
4,0.9,0.5,0.001,100,230
20,0.09,0.5,1e-4,1e6,231
4,0.5,0.5,0.01,100,232
4,0.5,0.009,1e-5,1e5,233
20,0.001,0.09,1e-6,1e4,234
4,0.1,0.09,0.01,1e5,235
4,0.009,0.5,1e-5,1e5,236
1,0.005,0.01,0.001,100,237
20,0.5,0.005,1e-5,1e5,238
20,0.5,0.05,1e-5,100,239
20,0.5,0.01,0.001,100,240
4,0.01,0.05,0.001,1e4,241
4,0.1,0.1,0.001,1e3,242
1,0.9,0.9,0.001,1e4,243
1,0.001,0.01,1e-5,1e6,244
4,0.09,0.005,0.001,1e5,245
20,0.05,0.09,1e-6,1e4,246
4,0.01,0.5,1e-5,1e4,247
4,0.005,0.009,0.1,1e4,248
1,0.005,0.9,0.01,1e3,249
20,0.5,0.01,0.01,1e4,250
20,0.01,0.1,1e-5,100,251
4,0.009,0.05,0.1,1e5,252
4,0.05,0.001,1e-6,1e3,253
20,0.1,0.09,1e-6,100,254
20,0.09,0.09,0.1,1e6,255
20,0.005,0.001,0.1,100,256
20,0.1,0.09,1e-4,1e6,257
1,0.5,0.9,1e-6,1e3,258
1,0.05,0.1,0.01,100,259
20,0.1,0.1,1e-4,100,260
1,0.5,0.009,0.01,1e6,261
1,0.9,0.1,1e-4,100,262
1,0.5,0.5,1e-4,1e6,263
4,0.009,0.009,0.01,1e5,264
4,0.01,0.1,0.001,100,265
4,0.1,0.009,0.1,1e5,266
20,0.1,0.005,1e-5,1e3,267
20,0.001,0.09,0.1,1e5,268
20,0.09,0.9,1e-4,100,269
4,0.05,0.005,1e-6,10,270
20,0.009,0.009,1e-4,10,271
1,0.01,0.5,1e-6,1e3,272
1,0.05,0.1,1e-6,10,273
4,0.05,0.05,0.01,1e5,274
20,0.01,0.05,1e-5,10,275
4,0.09,0.09,0.01,1e4,276
20,0.5,0.001,1e-5,1e4,277
4,0.05,0.9,0.001,1e3,278
20,0.05,0.09,0.1,1e6,279
20,0.009,0.9,0.001,100,280
1,0.09,0.01,0.01,10,281
20,0.01,0.09,0.01,1e6,282
20,0.1,0.01,1e-5,1e6,283
4,0.005,0.009,1e-5,1e6,284
20,0.5,0.9,0.01,1e5,285
4,0.01,0.005,1e-5,100,286
20,0.9,0.9,0.001,1e5,287
1,0.1,0.005,0.001,10,288
4,0.001,0.05,0.1,1e6,289
4,0.5,0.5,0.001,1e6,290
20,0.01,0.05,0.1,1e5,291
1,0.9,0.09,1e-5,1e5,292
4,0.05,0.5,0.01,1e3,293
4,0.1,0.009,1e-4,10,294
4,0.005,0.9,1e-5,1e3,295
4,0.009,0.05,0.001,1e4,296
20,0.5,0.5,0.001,1e6,297
1,0.5,0.005,1e-6,10,298
20,0.1,0.001,1e-5,1e4,299
1,0.05,0.01,0.1,1e4,300
1,0.005,0.01,1e-4,1e4,301
4,0.1,0.01,1e-5,100,302
4,0.005,0.005,1e-5,1e3,303
4,0.9,0.05,0.1,1e6,304
1,0.05,0.9,0.01,1e4,305
1,0.009,0.1,0.1,1e4,306
20,0.005,0.9,0.1,1e3,307
1,0.9,0.09,1e-6,10,308
1,0.09,0.5,0.01,1e3,309
20,0.01,0.9,1e-6,10,310
20,0.001,0.05,1e-4,1e5,311
20,0.09,0.5,0.01,1e3,312
20,0.009,0.5,0.01,1e4,313
4,0.05,0.05,0.01,1e5,314
4,0.9,0.01,0.1,1e6,315
1,0.01,0.09,1e-6,1e4,316
4,0.9,0.01,1e-6,1e6,317
20,0.01,0.01,0.1,10,318
4,0.1,0.09,0.1,1e3,319
20,0.01,0.05,1e-4,1e6,320
4,0.5,0.001,1e-4,1e6,321
4,0.005,0.05,1e-4,1e6,322
1,0.9,0.1,0.001,1e5,323
1,0.9,0.005,0.1,100,324
20,0.09,0.09,0.1,10,325
20,0.1,0.5,1e-5,1e4,326
4,0.005,0.05,1e-6,100,327
4,0.005,0.05,0.01,1e6,328
1,0.01,0.9,0.1,1e3,329
1,0.1,0.5,0.01,100,330
4,0.009,0.01,0.1,100,331
1,0.005,0.001,1e-4,1e6,332
20,0.005,0.1,0.1,1e3,333
20,0.005,0.05,1e-4,10,334
1,0.001,0.001,1e-5,1e5,335
4,0.009,0.09,1e-4,1e5,336
4,0.05,0.005,0.1,1e5,337
1,0.09,0.005,1e-5,1e6,338
4,0.01,0.9,1e-4,1e4,339
1,0.001,0.9,0.1,100,340
1,0.09,0.05,0.01,100,341
1,0.005,0.01,0.1,1e3,342
4,0.001,0.09,1e-5,1e3,343
1,0.5,0.05,0.001,1e5,344
4,0.1,0.05,1e-4,100,345
1,0.05,0.001,0.01,1e6,346
4,0.09,0.05,1e-4,10,347
1,0.9,0.009,0.001,10,348
1,0.009,0.01,1e-5,1e5,349
20,0.009,0.1,1e-4,100,350
20,0.05,0.005,1e-5,1e5,351
4,0.05,0.001,0.001,100,352
4,0.01,0.5,0.1,1e5,353
1,0.01,0.009,1e-4,1e4,354
20,0.09,0.01,1e-5,100,355
20,0.05,0.5,1e-4,10,356
1,0.005,0.9,0.01,10,357
1,0.001,0.009,0.01,10,358
1,0.1,0.05,0.001,100,359
20,0.009,0.09,0.1,1e6,360
4,0.005,0.01,0.001,1e6,361
20,0.5,0.005,0.01,1e6,362
20,0.5,0.005,0.1,1e3,363
20,0.009,0.001,0.001,10,364
1,0.9,0.5,0.01,100,365
20,0.5,0.1,1e-5,10,366
1,0.01,0.01,1e-5,100,367
1,0.5,0.9,0.01,1e3,368
20,0.5,0.05,0.1,1e5,369
20,0.005,0.9,1e-6,1e5,370
20,0.05,0.5,0.001,1e3,371
4,0.5,0.005,0.001,1e6,372
1,0.001,0.5,1e-6,1e5,373
4,0.5,0.5,1e-4,1e5,374
20,0.09,0.9,1e-4,100,375
20,0.9,0.001,1e-5,1e3,376
20,0.005,0.009,1e-5,10,377
4,0.001,0.5,0.1,1e3,378
1,0.005,0.001,0.1,100,379
4,0.05,0.09,0.1,1e5,380
20,0.9,0.009,1e-6,1e6,381
20,0.001,0.5,1e-6,1e6,382
1,0.01,0.9,1e-5,1e3,383
1,0.001,0.9,0.001,1e3,384
4,0.9,0.05,0.01,100,385
1,0.05,0.5,0.01,1e4,386
1,0.009,0.1,1e-4,10,387
1,0.01,0.09,0.1,1e5,388
4,0.01,0.05,1e-5,1e5,389
1,0.09,0.05,0.01,1e5,390
4,0.05,0.009,1e-4,1e3,391
1,0.9,0.1,1e-6,1e6,392
4,0.009,0.009,0.1,1e5,393
20,0.005,0.005,0.001,1e5,394
1,0.009,0.1,1e-4,10,395
20,0.009,0.05,1e-4,1e6,396
1,0.1,0.01,0.1,10,397
20,0.1,0.1,1e-5,10,398
4,0.005,0.5,1e-5,1e6,399
20,0.5,0.9,1e-4,10,400
1,0.5,0.09,0.01,100,401
4,0.9,0.01,0.01,1e3,402
4,0.001,0.009,1e-6,100,403
20,0.001,0.9,1e-5,1e5,404
1,0.001,0.005,0.001,1e5,405
4,0.5,0.009,1e-5,1e4,406
20,0.005,0.001,1e-5,1e3,407
20,0.001,0.005,0.001,100,408
4,0.01,0.01,1e-4,1e6,409
20,0.5,0.005,0.001,1e6,410
20,0.09,0.009,1e-6,1e4,411
1,0.005,0.09,0.01,100,412
1,0.001,0.005,0.01,1e6,413
4,0.9,0.5,1e-5,1e3,414
4,0.01,0.1,0.1,1e6,415
4,0.1,0.009,0.01,1e4,416
4,0.009,0.001,1e-4,1e3,417
1,0.009,0.9,0.1,1e3,418
4,0.9,0.05,1e-5,100,419
4,0.01,0.05,1e-6,1e3,420
20,0.5,0.09,0.01,10,421
20,0.009,0.005,0.001,1e6,422
1,0.09,0.1,0.1,1e4,423
1,0.05,0.05,1e-5,1e4,424
20,0.005,0.01,0.1,100,425
1,0.1,0.5,1e-5,1e3,426
4,0.005,0.09,0.01,1e6,427
1,0.09,0.005,0.01,1e5,428
20,0.009,0.005,1e-4,10,429
20,0.09,0.005,1e-5,1e5,430
4,0.5,0.9,1e-5,1e4,431
1,0.5,0.9,1e-6,100,432
1,0.9,0.1,0.01,1e4,433
20,0.01,0.09,0.001,100,434
4,0.09,0.005,1e-6,1e4,435
4,0.5,0.9,0.01,1e5,436
4,0.005,0.09,1e-5,1e3,437
20,0.009,0.9,0.01,100,438
1,0.1,0.1,1e-5,1e6,439
1,0.05,0.5,1e-5,1e5,440
1,0.009,0.09,0.1,1e3,441
1,0.009,0.05,0.1,1e6,442
4,0.05,0.5,0.001,100,443
1,0.5,0.9,0.001,10,444
20,0.009,0.1,1e-5,100,445
1,0.005,0.001,0.1,1e6,446
4,0.05,0.09,1e-6,1e5,447
4,0.01,0.09,1e-6,1e5,448
1,0.09,0.005,0.1,10,449
4,0.09,0.009,0.01,1e4,450
20,0.05,0.05,1e-6,1e6,451
4,0.05,0.1,0.001,1e5,452
1,0.01,0.001,1e-5,100,453
20,0.9,0.5,0.001,10,454
1,0.05,0.001,1e-4,1e6,455
20,0.009,0.5,0.001,1e5,456
1,0.001,0.001,0.001,1e6,457
4,0.09,0.005,0.001,100,458
1,0.009,0.5,0.1,10,459
4,0.001,0.5,1e-4,100,460
20,0.009,0.05,0.01,1e5,461
20,0.01,0.9,0.01,1e3,462
20,0.09,0.09,0.1,1e5,463
20,0.005,0.009,0.1,1e5,464
20,0.001,0.005,0.001,100,465
20,0.05,0.01,1e-4,10,466
4,0.005,0.005,1e-4,1e4,467
1,0.009,0.9,0.001,1e3,468
4,0.05,0.009,0.01,1e5,469
4,0.009,0.1,0.1,1e6,470
20,0.01,0.005,1e-6,1e6,471
20,0.9,0.9,0.01,1e3,472
4,0.1,0.009,1e-4,100,473
20,0.001,0.05,0.01,1e6,474
4,0.01,0.09,0.001,1e5,475
20,0.1,0.001,0.001,1e5,476
20,0.05,0.9,1e-5,100,477
4,0.01,0.009,1e-4,100,478
4,0.05,0.5,0.01,100,479
20,0.009,0.9,0.1,10,480
4,0.005,0.09,1e-4,100,481
1,0.09,0.5,0.1,1e4,482
1,0.009,0.5,1e-6,10,483
1,0.005,0.09,0.01,1e4,484
20,0.01,0.09,1e-6,10,485
4,0.05,0.009,1e-5,10,486
20,0.005,0.1,1e-4,10,487
4,0.01,0.9,0.1,1e5,488
1,0.05,0.01,0.001,1e4,489
1,0.09,0.05,0.1,1e3,490
4,0.01,0.09,1e-4,1e3,491
1,0.05,0.009,1e-6,100,492
20,0.09,0.09,1e-6,1e6,493
4,0.01,0.5,1e-6,100,494
20,0.009,0.001,1e-4,1e6,495
20,0.009,0.09,0.001,10,496
20,0.01,0.9,0.01,1e5,497
20,0.005,0.005,0.001,100,498
1,0.01,0.001,0.01,1e3,499
4,0.005,0.09,1e-6,1e3,500
1,0.05,0.001,0.1,100,501
1,0.05,0.05,0.1,100,502
4,0.01,0.9,0.1,1e5,503
4,0.5,0.01,1e-5,1e4,504
1,0.005,0.05,0.001,1e6,505
20,0.5,0.5,0.01,1e5,506
20,0.05,0.005,0.001,1e5,507
1,0.005,0.001,0.01,10,508
20,0.01,0.09,0.1,10,509
4,0.9,0.09,0.1,1e5,510
1,0.09,0.001,1e-4,1e6,511
20,0.1,0.5,1e-5,100,512
20,0.009,0.09,0.1,10,513
1,0.5,0.5,0.01,10,514
4,0.09,0.1,1e-4,1e5,515
4,0.9,0.005,1e-5,1e3,516
1,0.9,0.5,0.001,1e4,517
20,0.9,0.05,1e-5,10,518
20,0.05,0.01,0.001,1e3,519
1,0.009,0.05,1e-5,1e6,520
20,0.9,0.9,1e-6,1e5,521
20,0.009,0.001,0.01,1e6,522
20,0.05,0.001,0.01,100,523
1,0.1,0.9,1e-4,1e3,524
1,0.01,0.05,1e-4,1e3,525
20,0.05,0.005,0.01,10,526
1,0.001,0.05,1e-6,100,527
1,0.005,0.001,0.01,1e6,528
4,0.001,0.1,1e-5,100,529
1,0.05,0.001,0.001,1e6,530
4,0.9,0.1,1e-5,1e4,531
4,0.1,0.9,0.01,100,532
1,0.9,0.01,1e-6,100,533
4,0.001,0.01,1e-5,10,534
1,0.01,0.1,0.01,1e5,535
4,0.005,0.5,1e-5,100,536
4,0.01,0.1,0.01,1e5,537
4,0.05,0.9,1e-5,1e4,538
1,0.001,0.05,0.1,1e4,539
4,0.09,0.5,0.01,100,540
4,0.5,0.005,1e-6,1e4,541
4,0.001,0.5,0.1,1e5,542
1,0.05,0.01,0.1,1e4,543
20,0.009,0.009,1e-5,1e3,544
4,0.01,0.1,0.01,1e4,545
20,0.5,0.5,1e-5,1e4,546
1,0.001,0.1,1e-4,1e3,547
4,0.05,0.9,0.1,1e5,548
4,0.5,0.5,0.001,10,549
4,0.009,0.1,1e-5,1e5,550
4,0.09,0.1,1e-4,1e4,551
4,0.9,0.001,1e-4,1e4,552
20,0.1,0.05,1e-6,1e3,553
4,0.01,0.9,1e-6,100,554
20,0.05,0.01,0.01,1e4,555
20,0.05,0.001,1e-5,1e6,556
4,0.5,0.01,1e-6,1e6,557
4,0.005,0.1,1e-6,1e6,558
1,0.05,0.01,0.1,1e4,559
4,0.001,0.005,1e-5,10,560
20,0.1,0.009,0.1,1e4,561
4,0.009,0.5,1e-6,10,562
1,0.09,0.005,0.001,1e6,563
1,0.05,0.05,1e-4,1e6,564
1,0.009,0.05,1e-5,1e3,565
20,0.001,0.01,0.01,1e6,566
1,0.009,0.09,1e-5,10,567
4,0.5,0.05,1e-4,1e3,568
1,0.001,0.05,0.1,1e4,569
1,0.01,0.09,1e-5,1e5,570
1,0.9,0.1,1e-6,1e6,571
1,0.9,0.09,1e-6,1e6,572
20,0.005,0.05,0.001,1e3,573
1,0.5,0.009,1e-4,10,574
4,0.005,0.09,0.1,1e3,575
20,0.5,0.1,0.01,1e5,576
1,0.01,0.005,0.001,1e5,577
4,0.009,0.9,1e-5,1e3,578
20,0.009,0.9,1e-5,100,579
1,0.001,0.005,0.001,1e3,580
4,0.5,0.001,0.001,1e4,581
1,0.001,0.1,0.1,100,582
1,0.05,0.09,1e-6,1e6,583
4,0.01,0.9,1e-4,1e3,584
1,0.1,0.01,1e-6,1e4,585
4,0.09,0.9,0.001,1e3,586
20,0.009,0.001,1e-5,100,587
1,0.005,0.01,1e-5,1e5,588
20,0.001,0.01,0.1,100,589
1,0.5,0.1,0.001,1e3,590
20,0.5,0.009,0.1,100,591
4,0.9,0.9,1e-6,1e5,592
20,0.005,0.009,1e-6,1e6,593
1,0.1,0.005,1e-5,1e5,594
4,0.5,0.09,0.01,1e6,595
1,0.009,0.05,0.01,1e6,596
1,0.09,0.01,0.1,1e3,597
20,0.5,0.001,0.01,1e5,598
1,0.001,0.09,0.001,1e5,599
4,0.05,0.5,0.1,1e5,600
4,0.05,0.09,1e-6,10,601
20,0.009,0.05,0.1,1e3,602
20,0.009,0.005,1e-4,1e3,603
20,0.009,0.009,1e-4,1e4,604
4,0.009,0.5,0.001,1e4,605
4,0.005,0.5,0.1,1e3,606
4,0.005,0.001,0.001,1e5,607
20,0.09,0.01,0.01,1e3,608
20,0.01,0.05,1e-4,1e5,609
4,0.9,0.01,1e-4,1e4,610
4,0.5,0.09,0.1,1e3,611
4,0.001,0.09,1e-6,1e4,612
4,0.05,0.001,0.01,1e4,613
1,0.9,0.001,1e-4,1e3,614
4,0.005,0.01,0.01,1e3,615
20,0.005,0.001,1e-6,1e6,616
4,0.01,0.009,1e-4,1e3,617
1,0.005,0.005,0.1,1e5,618
1,0.01,0.9,0.1,10,619
4,0.005,0.001,0.1,1e4,620
20,0.05,0.001,0.01,1e3,621
4,0.1,0.009,1e-5,1e3,622
4,0.001,0.1,1e-5,1e5,623
20,0.005,0.05,1e-5,10,624
1,0.05,0.01,0.001,10,625
4,0.005,0.9,0.001,1e5,626
1,0.005,0.9,0.001,1e4,627
20,0.05,0.1,1e-6,1e3,628
20,0.5,0.9,1e-6,1e4,629
4,0.09,0.1,0.001,1e4,630
1,0.01,0.009,1e-5,10,631
1,0.001,0.9,0.001,1e5,632
1,0.01,0.5,0.001,10,633
4,0.009,0.01,1e-6,100,634
4,0.001,0.09,0.01,1e6,635
20,0.5,0.9,1e-5,1e3,636
4,0.9,0.1,1e-5,1e5,637
4,0.005,0.009,0.1,1e3,638
4,0.09,0.5,1e-4,100,639
4,0.009,0.9,1e-4,1e5,640
1,0.09,0.01,0.01,1e3,641
20,0.09,0.001,0.1,1e5,642
4,0.009,0.001,1e-4,1e3,643
4,0.01,0.005,0.01,1e6,644
1,0.05,0.9,0.001,100,645
1,0.005,0.009,1e-4,1e4,646
1,0.005,0.005,0.1,1e4,647
20,0.9,0.005,1e-6,1e4,648
20,0.5,0.005,1e-4,1e4,649
1,0.05,0.5,0.001,1e5,650
4,0.09,0.5,1e-6,1e4,651
20,0.01,0.009,0.01,1e6,652
4,0.5,0.5,0.01,100,653
20,0.009,0.05,0.001,100,654
1,0.1,0.005,0.01,1e3,655
20,0.01,0.005,0.01,1e3,656
1,0.1,0.5,1e-5,1e3,657
4,0.001,0.009,1e-5,1e5,658
1,0.001,0.9,0.1,1e5,659
1,0.05,0.5,0.001,1e6,660
4,0.5,0.5,0.1,100,661
4,0.001,0.01,1e-5,1e6,662
20,0.005,0.09,1e-6,1e3,663
1,0.001,0.009,0.1,100,664
4,0.05,0.05,0.01,100,665
4,0.01,0.09,0.01,1e4,666
1,0.9,0.5,0.1,1e5,667
4,0.01,0.05,0.001,100,668
20,0.9,0.9,1e-5,10,669
4,0.05,0.9,0.01,1e4,670
4,0.9,0.005,1e-4,1e4,671
4,0.9,0.001,0.1,1e5,672
20,0.01,0.09,0.1,10,673
1,0.09,0.1,0.001,100,674
1,0.09,0.09,1e-4,100,675
1,0.9,0.1,1e-6,10,676
1,0.001,0.001,1e-4,100,677
1,0.009,0.1,0.01,100,678
4,0.001,0.1,1e-6,1e5,679
4,0.9,0.01,1e-6,10,680
4,0.05,0.005,1e-4,1e3,681
1,0.05,0.009,1e-4,10,682
20,0.09,0.1,0.001,1e3,683
20,0.01,0.09,0.1,10,684
4,0.9,0.01,1e-5,1e3,685
20,0.01,0.009,0.01,1e6,686
4,0.5,0.005,1e-5,10,687
1,0.005,0.1,0.01,10,688
4,0.9,0.1,1e-4,100,689
4,0.005,0.005,0.01,10,690
20,0.01,0.01,1e-4,1e5,691
20,0.09,0.005,1e-4,100,692
20,0.9,0.9,0.01,1e6,693
20,0.005,0.009,0.01,1e3,694
4,0.009,0.09,1e-5,10,695
1,0.09,0.001,1e-5,1e5,696
4,0.001,0.01,0.01,1e6,697
1,0.001,0.1,1e-6,1e5,698
4,0.9,0.05,0.001,1e5,699
1,0.01,0.05,1e-5,1e5,700
4,0.001,0.1,0.001,1e3,701
